SerialN,Name,Ratings,Price,Condition,Date
SerialN,Name,Ratings,Price,Details,Date,img_link,type
1_headphone,Sony MDR-ZX110A Stereo Headphone (White),3.8 out of 5 stars,572,"{u'Item model number': u'MDR-ZX110A', u'Batteries Included': u'No', u'Brand': u'Sony', u'Connector Type': u'wired-3.5mm single pin', u'Item Weight': u'191 g', u'Microphone Form Factor': u'without microphone', u'Model': u'MDR-ZX110A', u'Additional Features': u'on-ear', u'Product Dimensions': u'18.6 x 12.8 x 5.2 cm'}",2016-04-15,http://ecx.images-amazon.com/images/I/31sugjSXosL._SY300_QL70_.jpg,headphone
2_headphone,Not Available,Not Available,Not Available,Not Available,2016-04-15,Not Available,headphone
3_headphone,Philips SHE1360/97 Headphone (Black),4.2 out of 5 stars,139,"{u'Item model number': u'SHE1360/97', u'Headphones Form Factor': u'Earbuds', u'Number Of Items': u'25', u'Batteries Included': u'No', u'Headphones Technology': u'Music', u'Brand': u'Philips', u'Compatible Devices': u'mp3, smart phones, tablets', u'Connector Type': u'wired-3.5mm single pin', u'Item Weight': u'32 g', u'Model Name': u'In-Ear', u'Audio Output Mode': u'stereo', u'Microphone Form Factor': u'without microphone', u'Model': u'SHE1360/97', u'Additional Features': u'earbud', u'Model Year': u'2008', u'Product Dimensions': u'43.7 x 25.3 x 22.5 cm'}",2016-04-15,http://ecx.images-amazon.com/images/I/41rMWYvpd0L._SY300_QL70_.jpg,headphone
4_headphone,House of Marley Little Bird EM-JE061-BK Earphones with Mic (Black),4.5 out of 5 stars,599,"{u'Item model number': u'EM-JE061-BK', u'Headphones Form Factor': u'Noise Cancelling', u'Batteries Included': u'No', u'Brand': u'House of Marley', u'Connector Type': u'Wired 3.5 mm', u'Item Weight': u'472 g', u'Model Name': u'Little Bird', u'Microphone Form Factor': u'With Microphone', u'Model': u'EM-JE061-BK', u'Additional Features': u'Type: In-ear Headphone with Mic., Cover: Soft Comfort Housing Cover., Microphone: In-Line Microphone with 1-Button Remote., Connector: Aux 3.5mm stereo., Compatibility: Aux Supported Devices., Functions: Noise-isolating Design, Play/Pause Music and Receive calls., Cable: Silicone Rubber., Driver Size: 9.2mm., Frequency: 20Hz - 20 Khz., Connector Material: Gold Plated., Earphone Length: 127cm, Delivery Includes: 2 SIZE Ear Gelz (S,M) and Earphone', u'Product Dimensions': u'17.1 x 6.6 x 2.8 cm', u'Included Components': u'Headphones'}",2016-04-15,http://ecx.images-amazon.com/images/I/31xVZF33tbL._SY300_QL70_.jpg,headphone
5_headphone,Skullcandy JIB S2DUDZ-003 In-Ear Headphone (Black),3.8 out of 5 stars,599,"{u'Item model number': u'S2DUDZ-003', u'Includes AC Adapter': u'No', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Headphones Technology': u'Music', u'Brand': u'Skullcandy', u'Connector Type': u'wired-3.5mm single pin', u'Item Weight': u'9 g', u'Has Auto Focus': u'No', u'Microphone Form Factor': u'without microphone', u'Model': u'S2DUDZ-003', u'Additional Features': u'in-ear', u'Model Year': u'2013', u'Product Dimensions': u'2.5 x 2.5 x 3.8 cm', u'Programmable Buttons': u'No'}",2016-04-15,http://ecx.images-amazon.com/images/I/31TQq4MUCGL._SY300_QL70_.jpg,headphone
6_headphone,JBL T250SI On-Ear Headphone (Black),4 out of 5 stars,927,"{u'Item model number': u'T250SI', u'Headphones Form Factor': u'Lightweight', u'Number Of Items': u'1', u'Batteries Included': u'No', u'Brand': u'JBL', u'Connector Type': u'wired-3.5mm single pin', u'Item Weight': u'259 g', u'Microphone Form Factor': u'without microphone', u'Model': u'T250SI', u'Additional Features': u'on-ear', u'Product Dimensions': u'23.2 x 18.4 x 8.2 cm', u'Included Components': u'Headphones'}",2016-04-15,http://ecx.images-amazon.com/images/I/41UwKgDSR8L._SY300_QL70_.jpg,headphone
7_headphone,Skullcandy SCS2DUFZ-385 Jib In-Ear Headphone (Lime/Gray),3.8 out of 5 stars,499,"{u'Item model number': u'SCS2DUFZ-385', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Brand': u'Skullcandy', u'Connector Type': u'wired-3.5mm single pin', u'Item Weight': u'9 g', u'Has Auto Focus': u'No', u'Microphone Form Factor': u'without microphone', u'Model': u'SCS2DUFZ-385', u'Additional Features': u'in-ear', u'Model Year': u'2014', u'Product Dimensions': u'1.3 x 1.9 x 2.2 cm', u'Programmable Buttons': u'No'}",2016-04-15,http://ecx.images-amazon.com/images/I/31HJm73%2B3bL._SY300_QL70_.jpg,headphone
8_headphone,Earphones EarPods Handsfree Headphones for Apple iPhone 4/4s/5/5s/6/6+ - White,1.5 out of 5 stars,54,"{u'Item model number': u'shivam', u'Batteries Included': u'No', u'Brand': u'Shivam', u'Connector Type': u'Wired-3.5 MM Single Pin', u'Item Weight': u'32 g', u'Microphone Form Factor': u'With Microphone', u'Model': u'shivam', u'Product Dimensions': u'6.2 x 6.2 x 1.2 cm'}",2016-04-15,http://ecx.images-amazon.com/images/I/41Y7m1RGqLL._SY300_QL70_.jpg,headphone
9_headphone,JBL JBLT150A In-Ear Headphones (Black),4 out of 5 stars,860,"{u'Item model number': u'JBLT150A', u'Batteries Included': u'No', u'Brand': u'JBL', u'Connector Type': u'wired-3.5mm single pin', u'Item Weight': u'68 g', u'Microphone Form Factor': u'with microphone', u'Model': u'JBLT150A', u'Additional Features': u'in-ear', u'Product Dimensions': u'4.5 x 17 x 4.5 cm', u'Included Components': u'Headphones'}",2016-04-15,http://ecx.images-amazon.com/images/I/31nea9gKdbL._SY300_QL70_.jpg,headphone
10_headphone,Sennheiser CX275 s Universal Mobile Headset (Black),4.2 out of 5 stars,1791,"{u'Item model number': u'CX 275 S', u'Batteries:': u'1 Lithium ion batteries required.', u'Includes AC Adapter': u'Yes', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Brand': u'Sennheiser', u'Connector Type': u'wired-3.5mm single pin', u'Includes Rechargable Battery': u'No', u'Item Weight': u'14 g', u'Includes Remote': u'No', u'Colour Screen': u'No', u'Microphone Form Factor': u'with microphone', u'Model': u'CX 275 S', u'Additional Features': u'in-ear', u'Model Year': u'2012', u'Product Dimensions': u'7.6 x 3.6 x 17 cm'}",2016-04-15,http://ecx.images-amazon.com/images/I/419Mt%2BrdVfL._SY300_QL70_.jpg,headphone
11_headphone,Philips SHS390/98 Neckband Headphone (Black),4.1 out of 5 stars,395,"{u'Item model number': u'SHS390/98', u'Batteries Included': u'No', u'Headphones Technology': u'Music', u'Brand': u'Philips', u'Connector Type': u'wired-3.5mm single pin', u'Item Weight': u'141 g', u'Model Name': u'Neckband', u'Microphone Form Factor': u'without microphone', u'Model': u'SHS390/98', u'Additional Features': u'neckband', u'Model Year': u'2010', u'Product Dimensions': u'4.2 x 13.7 x 13.7 cm'}",2016-04-15,http://ecx.images-amazon.com/images/I/41UkxDGatcL._SY300_QL70_.jpg,headphone
12_headphone,OnePlus Silver Bullet Earphones,3.9 out of 5 stars,3699,"{u'Item model number': u'OnePlus SilverBullet Earphones', u'Includes Remote': u'No', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Brand': u'OnePlus', u'Compatible Devices': u'3.5 mm jack - compatible with smartphones, laptops and portable music players', u'Connector Type': u'Wired USB', u'Item Weight': u'132 g', u'Colour Screen': u'No', u'Model': u'OnePlus SilverBullet Earphones', u'Additional Features': u'In-ear', u'Product Dimensions': u'9 x 4 x 9 cm'}",2016-04-15,http://ecx.images-amazon.com/images/I/31AUCU97d5L._SX300_QL70_.jpg,headphone
