SerialN,Name,Ratings,Price,Condition,Date
SerialN,Name,Ratings,Price,Details,Date,img_link,type
1_laptop,"Dell Inspiron 3542 15.6-inch Laptop (Core i3/4GB/1TB/Linux/Integrated Graphics), Black",3.5 out of 5 stars,26499,"{u'Item model number': u'X560317IN9', u'Notebook Display Technology': u'HD LED Backlit Display', u'Item Width': u'30 Centimeters', u'Memory Technology': u'DDR3', u'Average Battery Life (in hours)': u'4', u'Hard Disk Technology': u'Mechanical Hard Drive', u'Processor Count': u'1', u'RAM Size': u'4 GB', u'Processor Brand': u'Intel', u'Operating System': u'Linux', u'Product Dimensions': u'46 x 30 x 26 cm', u'Screen Size': u'15.6 Inches', u'Graphics Coprocessor': u'Intel Integrated Graphics', u'Hardware Platform': u'PC', u'Colour': u'Black', u'Item Weight': u'3.5 Kg', u'Graphics Card Description': u'Integrated Graphics Card', u'Processor Speed': u'1.7 GHz', u'Computer Memory Type': u'DDR3 SDRAM', u'Item Height': u'26 Centimeters', u'Hard Drive Size': u'1024 GB', u'Hard Drive Interface': u'Serial ATA', u'Processor Type': u'Core i3', u'Brand': u'Dell'}",2016-04-14,http://ecx.images-amazon.com/images/I/31wNtHGWlCL._SY300_QL70_.jpg,laptop
2_laptop,Apple MacBook Air MJVE2HN/A 13-inch Laptop (Core i5/4GB/128GB/OS X Yosemite/Intel HD 6000),4.6 out of 5 stars,59990,"{u'Item model number': u'MJVE2HN/A', u'Hardware Platform': u'Mac', u'Operating System': u'Mac OS', u'Item Height': u'12.3 Centimeters', u'Item Width': u'34.1 Centimeters', u'Processor Brand': u'Intel', u'Brand': u'Apple', u'Processor Speed': u'1.6 GHz', u'Graphics Coprocessor': u'Intel Integrated Graphics', u'Item Weight': u'1.4 Kg', u'Average Battery Life (in hours)': u'9', u'Hard Disk Technology': u'Solid State Drive', u'Hard Drive Size': u'128 GB', u'Graphics Card Description': u'Integrated Graphics Card', u'Processor Type': u'Core i5', u'RAM Size': u'4 GB', u'Screen Size': u'13 Inches', u'Product Dimensions': u'44.6 x 34.1 x 12.3 cm'}",2016-04-14,http://ecx.images-amazon.com/images/I/41%2BSEEHt5QL._SX300_QL70_.jpg,laptop
3_laptop,"Micromax Canvas Laptab LT666W 10.1-inch Touchscreen Laptop (Intel Atom Z3735F/2GB/32GB/Windows 10/Integrated Graphics/With WiFi Only), Grey",3.3 out of 5 stars,10999,"{u'Item model number': u'LT666W', u'Item Width': u'21.3 Centimeters', u'Memory Technology': u'DDR3', u'Average Battery Life (in hours)': u'10', u'Hard Disk Technology': u'Mechanical Hard Drive', u'RAM Size': u'2 GB', u'Processor Brand': u'Intel', u'Wireless Type': u'802.11bgn', u'Operating System': u'Windows 10', u'Lithium battery Voltage': u'3.7 Volts', u'Product Dimensions': u'35 x 21.3 x 5.8 cm', u'Screen Size': u'10.1 Inches', u'Graphics Coprocessor': u'Intel Integrated Graphics', u'Included Components': u'Tablet with keyboard, In-ear headphones, Charger,USB cable, OTG cable, Screen guard, User manual, Welcome note, Carry pouch (Grey/Black velvet touch), SAR leaflet and Warranty card', u'Number of USB 2.0 Ports': u'1', u'Colour': u'Grey/Black', u'Item Weight': u'1.1 Kg', u'Processor Speed': u'1.33 GHz', u'Item Height': u'5.8 Centimeters', u'Maximum Display Resolution': u'1280x800', u'Hard Drive Size': u'32 GB', u'Processor Type': u'Atom', u'Brand': u'Micromax'}",2016-04-14,http://ecx.images-amazon.com/images/I/41B9-bysnLL._SX300_QL70_.jpg,laptop
4_laptop,HP Notebook 15-ac118tu 15.6 inch Laptop (Intel Pentium N3825U/4GB/500GB/Intel HD Graphics/DOS),3.9 out of 5 stars,Not Available,"{u'Item model number': u'15-ac118tu', u'Memory Technology': u'DDR3L', u'Average Battery Life (in hours)': u'5', u'Hard Disk Technology': u'Mechanical Hard Drive', u'RAM Size': u'4 GB', u'Number of HDMI Ports': u'1', u'Processor Speed': u'1.9 GHz', u'Operating System': u'DOS', u'Processor Brand': u'Intel', u'Brand': u'HP', u'Screen Size': u'15.6 Inches', u'Graphics Coprocessor': u'Intel Integrated Graphics', u'Connectivity Type': u'Wifi', u'Number of USB 2.0 Ports': u'2', u'Colour': u'Silver', u'Item Weight': u'3 Kg', u'Battery Description': u'4 Cell, 41WHr', u'Speaker Description': u'DTS Studio Sound with 2 speakers', u'Series': u'15-ac118tu', u'Number of USB 3.0 Ports': u'1', u'Hard Drive Size': u'500 GB', u'Processor Type': u'Pentium', u'Product Dimensions': u'50.8 x 30.6 x 7.4 cm'}",2016-04-14,http://ecx.images-amazon.com/images/I/41djosST5rL._SX300_QL70_.jpg,laptop
5_laptop,"Lenovo G50-80 80E502Q8IH 15.6-inch Laptop (Core i3-5005U/4GB/1TB/DOS/Integrated Graphics), Black",3.8 out of 5 stars,25699,"{u'Item model number': u'80E502Q8IH', u'Item Width': u'32.4 Centimeters', u'Memory Technology': u'DDR3', u'Average Battery Life (in hours)': u'4', u'Hard Disk Technology': u'Mechanical Hard Drive', u'Processor Count': u'4', u'RAM Size': u'4 GB', u'Processor Brand': u'Intel', u'Operating System': u'DOS', u'Number of Lithium Ion Cells': u'6', u'Product Dimensions': u'51.6 x 32.4 x 6.6 cm', u'Screen Size': u'15.6 Inches', u'Graphics Coprocessor': u'Intel Integrated Graphics', u'Hardware Platform': u'PC', u'Number of USB 2.0 Ports': u'2', u'Colour': u'Black', u'Item Weight': u'2.5 Kg', u'Processor Speed': u'2 GHz', u'Item Height': u'6.6 Centimeters', u'Series': u'G50-80', u'Number of USB 3.0 Ports': u'1', u'Hard Drive Size': u'1 TB', u'Processor Type': u'Core i3', u'Brand': u'Lenovo'}",2016-04-14,http://ecx.images-amazon.com/images/I/41MLJasrfQL._SY300_QL70_.jpg,laptop
6_laptop,"Dell Vostro 15 3558 15.6-inch Laptop (Core i3/4GB/500GB/Linux), Black",3.8 out of 5 stars,23232,"{u'Item model number': u'Vostro 3558', u'Hardware Platform': u'PC', u'Screen Resolution': u'1366X768', u'Operating System': u'Linux', u'Graphics Coprocessor': u'Intel Integrated Graphics', u'Optical Drive Type': u'DVD/CD', u'Wireless Type': u'802.11bgn, Bluetooth', u'Processor Brand': u'Intel', u'Brand': u'Dell', u'Maximum Display Resolution': u'1366X768', u'Processor Speed': u'1.70 GHz', u'Item Weight': u'3.3 Kg', u'Product Dimensions': u'49 x 35.8 x 7.8 cm', u'Average Battery Life (in hours)': u'4', u'Hard Disk Technology': u'Mechanical Hard Drive', u'Hard Drive Size': u'500 GB', u'Graphics Card Description': u'Intel\xae HD Graphics 4400', u'Processor Type': u'Core i3', u'RAM Size': u'4 GB', u'Screen Size': u'15.60 Inches', u'Colour': u'BLACK'}",2016-04-14,http://ecx.images-amazon.com/images/I/41TT6pFQNvL._SY300_QL70_.jpg,laptop
7_laptop,"Dell Inspiron 3541 15.6-inch Notebook Laptop (AMD A6-6310UMA/4GB/500GB/DOS/AMD Radeon R2 Graphics), Black",4.2 out of 5 stars,18830,"{u'Item model number': u'x560171in9', u'Computer Memory Type': u'DDR3 SDRAM', u'Product Dimensions': u'2.6 x 27 x 28 cm', u'Operating System': u'DOS', u'Item Height': u'28 Centimeters', u'Optical Drive Type': u'BluRay DVD', u'Item Width': u'27 Centimeters', u'Brand': u'Dell', u'Processor Speed': u'1.80 GHz', u'Graphics Coprocessor': u'ATI Radeon', u'Item Weight': u'3.5 Kg', u'Average Battery Life (in hours)': u'4', u'Hard Disk Technology': u'Mechanical Hard Drive', u'Hard Drive Size': u'500 GB', u'Hard Drive Interface': u'eSATA', u'Hardware Platform': u'PC', u'Processor Type': u'Core i3', u'RAM Size': u'4 GB', u'Screen Size': u'15.6 Inches', u'Colour': u'Black', u'Included Components': u'Laptop, Battery, Charger & Adoptor'}",2016-04-14,http://ecx.images-amazon.com/images/I/41qmUKgQk5L._SY300_QL70_.jpg,laptop
8_laptop,"HP 15-ac122tu 15.6-inch Laptop (Core i3 5005U/4GB/1TB/DOS/Intel HD Graphics), Silver",4 out of 5 stars,26790,"{u'Item model number': u'HP 15-AC122TU', u'Item Width': u'24 Millimeters', u'Average Battery Life (in hours)': u'5', u'Hard Disk Technology': u'Mechanical Hard Drive', u'RAM Size': u'4 GB', u'Number of Lithium Ion Cells': u'4', u'Operating System': u'DOS', u'Product Dimensions': u'38.4 x 2.4 x 25.4 cm', u'Screen Size': u'15.6 Inches', u'Graphics Coprocessor': u'Intel Integrated Graphics', u'Included Components': u'Laptop, Battery, AC Adaptor, User Guide and Manuals', u'Hardware Platform': u'PC', u'Optical Drive Type': u'DVD/CD', u'Colour': u'Silver', u'Item Weight': u'3 Kg', u'Processor Speed': u'2.1 GHz', u'Item Height': u'25.4 Centimeters', u'Maximum Display Resolution': u'1366 x 768 pixels', u'Graphics Card Interface': u'Integrated', u'Hard Drive Size': u'1024 GB', u'Processor Type': u'Core i3', u'Brand': u'HP'}",2016-04-14,http://ecx.images-amazon.com/images/I/41mXohKCYLL._SY300_QL70_.jpg,laptop
9_laptop,"Lenovo Ideapad 100 80MH0080IN 14-inch Laptop (Celeron N2840/4GB/500GB/DOS/Integrated Graphics), Black Texture",3.7 out of 5 stars,21090,"{u'Item model number': u'80MH0080IN', u'Item Width': u'26.5 Centimeters', u'Memory Technology': u'DDR3', u'Average Battery Life (in hours)': u'4', u'Hard Disk Technology': u'Mechanical Hard Drive', u'RAM Size': u'4 GB', u'Processor Brand': u'Intel', u'Wireless Type': u'802.11bgn', u'Operating System': u'DOS', u'Product Dimensions': u'37.8 x 26.5 x 2.3 cm', u'Screen Size': u'14 Inches', u'Graphics Coprocessor': u'Intel Integrated Graphics', u'Connectivity Type': u'Wifi', u'Number of USB 2.0 Ports': u'1', u'Colour': u'Black Texture', u'Item Weight': u'2 Kg', u'Audio Details': u'Speaker', u'Processor Speed': u'2.16 GHz', u'Item Height': u'23 Millimeters', u'Speaker Description': u'Built-In Dual Speaker', u'Series': u'IdeaPad 100', u'Number of USB 3.0 Ports': u'1', u'Maximum Display Resolution': u'1366x768', u'Hard Drive Size': u'500 GB', u'Processor Type': u'Celeron', u'Brand': u'Lenovo'}",2016-04-14,http://ecx.images-amazon.com/images/I/41QeHLTd31L._SX300_QL70_.jpg,laptop
10_laptop,"Apple Macbook Pro MD101HN/A 13-inch Laptop (Core i5/4GB/500GB/Mac OS Mavericks/Intel HD Graphics), Silver",4.5 out of 5 stars,57499,"{u'Item model number': u'MD101HN/A', u'Batteries:': u'1 Lithium ion batteries required.', u'Notebook Display Technology': u'LED-backlit display with IPS technology', u'Item Width': u'32.5 Centimeters', u'Memory Technology': u'DDR3', u'Average Battery Life (in hours)': u'9', u'Hard Disk Technology': u'HDD 5400 rpm', u'Processor Count': u'1', u'RAM Size': u'4 GB', u'Processor Brand': u'Intel', u'Wireless Type': u'802.11n', u'Operating System': u'Mac OS X Mavericks', u'Product Dimensions': u'22.7 x 32.5 x 2.4 cm', u'Screen Size': u'13 Inches', u'Graphics Coprocessor': u'Intel Integrated Graphics', u'Included Components': u'MacBook Pro, magsafe power adapter, AC wall plug and power lead', u'Hardware Platform': u'Mac', u'Optical Drive Type': u'dvd', u'Colour': u'SILVER', u'Item Weight': u'2.1 Kg', u'Audio Details': u'Headphones^Speakers^USB', u'Graphics Card Description': u'Integrated Graphics Card', u'Processor Speed': u'2.5 GHz', u'Number of Ethernet Ports': u'1', u'Computer Memory Type': u'DDR3 SDRAM', u'Item Height': u'24 Millimeters', u'Speaker Description': u'Built-In Stereo Speaker', u'Number of USB 3.0 Ports': u'2', u'Maximum Display Resolution': u'1280x800', u'Hard Drive Size': u'500 GB', u'Hard Drive Interface': u'Serial ATA', u'Processor Type': u'Core i5', u'Brand': u'Apple'}",2016-04-14,http://ecx.images-amazon.com/images/I/41Z5W1kB-RL._SX300_QL70_.jpg,laptop
