SerialN,Name,Ratings,Price,Condition,Date
SerialN,Name,Ratings,Price,Details,Date,img_link,type
1_mobile,Intex Aqua Turbo 4G (Grey),Not Available,Not Available,"{u'Item model number': u'Aqua Turbo 4G', u'Whats in the box': u'Handset, Charger and User Manual', u'Connectivity technologies': u'GSM, (1900/1800/850/900 MHz), 3G, WCDMA, (2100 MHz), LTE, GPRS, EDGE, WiFi', u'Weight': u'150 Grams', u'Wireless communication technologies': u'Bluetooth', u'Product Dimensions': u'14.5 x 0.9 x 7.3 cm', u'RAM': u'1 GB', u'Item Weight': u'150 g', u'Form factor': u'Touchscreen Phone', u'Special features': u'Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Gravity sensor, Proximity sensor, Light sensor, E-mail', u'OS': u'Android', u'Colour': u'Grey'}",2016-04-14,http://ecx.images-amazon.com/images/I/41jGas3R%2BwL._SY300_QL70_.jpg,mobile
2_mobile,Lava P7 (Blue-Black),4 out of 5 stars,Not Available,"{u'Item model number': u'P7', u'Batteries:': u'1 Lithium Metal batteries required. (included)', u'Whats in the box': u'Handset, Charger, Battery, Headset, USB Cable , Screen Guard, User Manual and Warranty Card', u'Connectivity technologies': u'GSM, (900/1800 MHz), WCDMA, 3G, (2100 MHz), GPRS, EDGE, WiFi', u'Weight': u'155 Grams', u'Wireless communication technologies': u'Bluetooth', u'Product Dimensions': u'14.3 x 0.9 x 7.3 cm', u'Phone Standby Time (with data)': u'260 Hours', u'Item Weight': u'154 g', u'Form factor': u'Touchscreen Phone', u'Special features': u'Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Ambient light sensor, Proximity sensor', u'OS': u'Android', u'Colour': u'Blue-Black', u'Phone Talk Time': u'20 Hours'}",2016-04-14,http://ecx.images-amazon.com/images/I/41%2BDQ4XQ7AL._SY300_QL70_.jpg,mobile
3_mobile,"Moto E 2nd Generation (4G, Black)",3.9 out of 5 stars,6999,"{u'Item model number': u'XT1521', u'Whats in the box': u'Handset, Charger, Headset and Warranty Card', u'Battery Power Rating': u'2390', u'Connectivity technologies': u'GSM, (850/900/1800/1900 MHz), 3G, (2100 MHz), 4G LTE, WiFi 802.11 b/g/n', u'Weight': u'145 Grams', u'Wireless communication technologies': u'Bluetooth', u'Product Dimensions': u'13 x 1.2 x 6.7 cm', u'RAM': u'1 GB', u'Item Weight': u'145 g', u'Form factor': u'Touchscreen Phone', u'Special features': u'Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Ambient light sensor, Proximity sensor, E-mail, Expandable Memory: 32GB', u'OS': u'Android', u'Colour': u'Black'}",2016-04-14,http://ecx.images-amazon.com/images/I/41Msp7FZ%2BJL._SY300_QL70_.jpg,mobile
4_mobile,Gionee Elife E3 (White),3.7 out of 5 stars,8999,"{u'Item model number': u'E3', u'Whats in the box': u'Handset, Baterry, Charger, Data Cable and User Guide', u'Battery Power Rating': u'1800', u'Connectivity technologies': u'GSM, (850/900/1800/1900 MHz), UMTS, 3G, (900/2100 MHz), GPRS, EDGE, WiFi', u'Weight': u'450 Grams', u'Wireless communication technologies': u'Bluetooth, WiFi Hotspot', u'Product Dimensions': u'13.7 x 0.8 x 6.8 cm', u'RAM': u'1 GB', u'Item Weight': u'449 g', u'Device interface - primary': u'Touch Screen', u'Form factor': u'Touchscreen Phone', u'Special features': u'Music Player, Video Player, FM Radio, GPS, Dual SIM, eCompass, Light sensor, Proximity sensor, G sensor, E-mail, Expandable Memory: 32GB', u'OS': u'Android', u'Colour': u'White'}",2016-04-14,http://ecx.images-amazon.com/images/I/41iy%2Bdra55L._SY300_QL70_.jpg,mobile
5_mobile,"LG L80 Dual D380 (White, 4GB)",4 out of 5 stars,8297,"{u'Item model number': u'D380', u'Whats in the box': u'Handset, Battery, Charger, Ear Phones and User Guide', u'Battery Power Rating': u'2460', u'Connectivity technologies': u'GSM, (850/900/1800/1900 MHz), 3G, GPRS, EDGE', u'Weight': u'340 Grams', u'Wireless communication technologies': u'Bluetooth, WiFi Hotspot', u'Product Dimensions': u'13.8 x 1 x 7.4 cm', u'RAM': u'1 GB', u'Item Weight': u'340 g', u'Form factor': u'Touchscreen', u'Special features': u'Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Proximity sensor, Ambient light sensor, E-mail, Expandable Memory: 32GB', u'OS': u'Android, Kitkat', u'Colour': u'White'}",2016-04-14,http://ecx.images-amazon.com/images/I/51m31SAQsUL._SY300_QL70_.jpg,mobile
6_mobile,Adcom Kitkat A-54 (Black) with Flip Cover & Screenguard,1 out of 5 stars,4547,"{u'Item model number': u'A54QuadcoreB', u'Battery Power Rating': u'1750.00', u'Connectivity technologies': u'HSDPA', u'Weight': u'410 Grams', u'Form factor': u'Touchscreen', u'Product Dimensions': u'17.6 x 10.1 x 5.9 cm', u'RAM': u'1 GB', u'Item Weight': u'408 g', u'Special features': u'E-Mail, Music Player, Video Player', u'OS': u'Android, KitKat, Android^KitKat', u'Colour': u'Black'}",2016-04-14,http://ecx.images-amazon.com/images/I/41K7p55X-sL._SY300_QL70_.jpg,mobile
7_mobile,Lava X11 4G (Crystal Blue),5 out of 5 stars,7349,"{u'Item model number': u'Iris X11 4G', u'Whats in the box': u'Handset, Battery, Charger, Headset, Data Cable, Screen Guard, User Manual and Warranty Card', u'Connectivity technologies': u'GSM, (900/1800 MHz), WCDMA, 3G, (900/2100 MHz), 4G LTE, TDD40, (2300 MHz), FDD3, (1800 MHz), FDD5, (850 MHz), HSPA+, HSPA, GPRS, EDGE, WiFi', u'Weight': u'140 Grams', u'Wireless communication technologies': u'Bluetooth, WiFi Hotspot', u'Product Dimensions': u'14.6 x 0.8 x 7.2 cm', u'Item Weight': u'141 g', u'Form factor': u'Touchscreen Phone', u'Special features': u'Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Ambient light sensor, Hall sensor', u'OS': u'Android', u'Colour': u'Crystal Blue'}",2016-04-14,http://ecx.images-amazon.com/images/I/410gm3arU8L._SY300_QL70_.jpg,mobile
8_mobile,"Ultimate (UK) UM450 4.5"" Quad Core High Performance 3G Dual SIM Unlocked SIM-Free Smart Phone-Black",Not Available,Not Available,"{u'Item model number': u'UM450 Black', u'Whats in the box': u'1xPhone, 1xCharger, 1xBattery, 1xHand Free, 1xUSB Cable', u'Connectivity technologies': u'3G', u'Weight': u'135 Grams', u'Form factor': u'Touchscreen', u'Product Dimensions': u'13.4 x 1 x 6.7 cm', u'Item Weight': u'136 g', u'Special features': u""Dual SIM, Android 4.4 kitkat, Screen Size 4.5'' Q HD 540x960 OPS Screen, RAM 1 GB, 8 Mp Primary Camera"", u'OS': u'Android', u'Colour': u'Black', u'GPS': u'GPS Enabled'}",2016-04-14,http://ecx.images-amazon.com/images/I/41zQXS8uNML._SY300_QL70_.jpg,mobile
9_mobile,Samsung Galaxy S5 SM-G900H (Electric Blue),3.5 out of 5 stars,Not Available,"{u'Item model number': u'SM-G900H', u'Whats in the box': u'Handset, Battery, Charger, Data Cable and User Guide', u'Connectivity technologies': u'GSM, (850/900/1800/1900 MHz), UMTS, 3G, (900/1900/2100 MHz), WiFi', u'Weight': u'145 Grams', u'Wireless communication technologies': u'Bluetooth, WiFi Hotspot', u'Product Dimensions': u'14.2 x 0.8 x 7.3 cm', u'RAM': u'2 GB', u'Phone Standby Time (with data)': u'384 Hours', u'Item Weight': u'145 g', u'Device interface - primary': u'Touch Screen', u'Form factor': u'Touchscreen', u'Special features': u'Music Player, Video Player, Accelerometer, Gyro sensor, Proximity sensor, Compass, Barometer sensor, Hall sensor, RGB ambient light sensor, Gesture sensor, Fingerprint sensor, Heart rate sensor, E-mail, Expandable Memory: 128GB', u'OS': u'Android', u'Colour': u'Electric Blue', u'Phone Talk Time': u'1260 Minutes'}",2016-04-14,http://ecx.images-amazon.com/images/I/31BtVvavjfL._SY300_QL70_.jpg,mobile
10_mobile,Intex Aqua Star II 16 GB (White),5 out of 5 stars,6990,"{u'Item model number': u'Aqua Star II 16 GB', u'Weight': u'390 Grams', u'Product Dimensions': u'18.2 x 15.4 x 3.8 cm', u'Item Weight': u'390 g', u'Special features': u'Primary Camera', u'OS': u'Android', u'Colour': u'white'}",2016-04-14,http://ecx.images-amazon.com/images/I/51PIKqYDw4L._SY300_QL70_.jpg,mobile
