SerialN,Name,Ratings,Price,Condition,Date
SerialN,Name,Ratings,Price,Details,Date,img_link,type
1_tablet,"Micromax Canvas Tab P290 (Wi-Fi, Android Lollipop 5.0, 8GB) Black",3.7 out of 5 stars,3695,"{u'Item model number': u'Canvas Tab P290', u'Whats in the box': u'Tablet, Charger, USB Cable, Earphones, Screenguard and OTG Cable', u'Connectivity technologies': u'For data connectivity only: Wi-Fi 802.11b/g/n, 3G via external dongle. This tablet does not support voice calling.', u'Weight': u'260 Grams', u'Wireless communication technologies': u'Bluetooth', u'Product Dimensions': u'18.9 x 1 x 11.1 cm', u'Item Weight': u'259 g', u'Special features': u'Wi-Fi', u'OS': u'Android', u'Colour': u'Black'}",2016-04-15,http://ecx.images-amazon.com/images/I/41iDhyy0AfL._SY300_QL70_.jpg,tablet
2_tablet,"iBall Slide 6351 Q40i Tablet (WiFi), Black/Grey",3 out of 5 stars,2749,"{u'Item model number': u'6351 Q40i', u'Whats in the box': u'Tablet, Charger and User Manual', u'Connectivity technologies': u'HSPA, For data connectivity only: 3G via external dongle, WiFi 802.11b/g/n. This tablet does not support voice calling.', u'Weight': u'220 Grams', u'Wireless communication technologies': u'Bluetooth, WiFi Hotspot', u'Product Dimensions': u'16 x 1.1 x 11 cm', u'Item Weight': u'218 g', u'Form factor': u'Slide', u'Special features': u'GPS, Music Player, Video Player, FM Radio, E-mail', u'OS': u'Android', u'Colour': u'Black-Grey'}",2016-04-15,http://ecx.images-amazon.com/images/I/41GunYTRCvL._SY300_QL70_.jpg,tablet
3_tablet,"Lenovo Tab 2 A7-10 Tablet (WiFi), Ebony Black",4.2 out of 5 stars,4899,"{u'Item model number': u'Tab 2 A7-10', u'Whats in the box': u'Tablet, Charger and User Guide', u'Connectivity technologies': u'For data connectivity only: WiFi 802.11b/g/n. This tablet does not support voice calling.', u'Weight': u'270 Grams', u'Wireless communication technologies': u'Bluetooth', u'Product Dimensions': u'0.9 x 10.5 x 18.9 cm', u'Item Weight': u'272 g', u'Form factor': u'Touchscreen Phone', u'Special features': u'Wi-Fi', u'OS': u'Andriod', u'Colour': u'Ebony Black'}",2016-04-15,http://ecx.images-amazon.com/images/I/41lAFgS6MEL._SX300_QL70_.jpg,tablet
4_tablet,"Micromax Canvas P480 Tablet (8GB, WiFi, 3G, Voice Calling), White",3.5 out of 5 stars,5850,"{u'Item model number': u'P480', u'Whats in the box': u'Charger, OTG cable, Handsfree, USB cable, User guide, Warranty card and Screen guard', u'Connectivity technologies': u'GSM, (850/900/1800/1900 MHz), 3G, (900/2100 MHz), WiFi 802.11 b/ g/ n', u'Weight': u'285 Grams', u'Wireless communication technologies': u'Bluetooth, WiFi Hotspot', u'Product Dimensions': u'19.4 x 1 x 11.2 cm', u'Item Weight': u'286 g', u'Special features': u'Voice Calling, Video Calls, Dual SIM, GPS, Music Player, Video Player, FM Radio, Proximity sensor, Accelerometer, Ambient light sensor, E-mail', u'OS': u'Android', u'Colour': u'White'}",2016-04-15,http://ecx.images-amazon.com/images/I/41nf0VD6b-L._SX300_QL70_.jpg,tablet
5_tablet,"Lenovo Tab 2 A7-20 Tablet (WiFi), Black",4.1 out of 5 stars,4999,"{u'Item model number': u'Tab 2 A7-20', u'Whats in the box': u'Tablet, Charger and User Manual', u'Connectivity technologies': u'For data connectivity only: WiFi 802.11 b/g/n. This tablet does not support voice calling.', u'Weight': u'270 Grams', u'Wireless communication technologies': u'Bluetooth, WiFi Hotspot', u'Product Dimensions': u'18.9 x 0.9 x 10.5 cm', u'Item Weight': u'268 g', u'Special features': u'GPS, Music Player, Video Player, E-mail', u'OS': u'Android', u'Colour': u'Black'}",2016-04-15,http://ecx.images-amazon.com/images/I/41ee%2BCHI48L._SY300_QL70_.jpg,tablet
6_tablet,"Apple iPad Mini 2 (16GB, WiFi), Silver",4.4 out of 5 stars,17990,"{u'Item model number': u'iPad Mini', u'Whats in the box': u'iPad Mini, USB Cable and USB Power Adapter', u'Connectivity technologies': u'WiFi (802.11a/b/g/n) 2.4GHz and 5GHz, 3.5 mm Headphone Jack, For data connectivity only: WiFi. This tablet does not support 3G and voice calling.', u'Weight': u'640 Grams', u'Wireless communication technologies': u'Bluetooth v4.0, WiFi (802.11a/b/g/n)', u'Product Dimensions': u'20 x 0.8 x 13.5 cm', u'Item Weight': u'640 g', u'Device interface - primary': u'Touch Screen', u'Special features': u'Music Player', u'OS': u'iOS', u'Colour': u'Silver'}",2016-04-15,http://ecx.images-amazon.com/images/I/41rf5F-WbuL._SY300_QL70_.jpg,tablet
7_tablet,"Lenovo PHAB Plus (WiFi, LTE, Voice Calling), Gunmetal Grey",3.8 out of 5 stars,14999,"{u'Item model number': u'PHAB Plus', u'Whats in the box': u'Phablet, Charger and User Manual', u'Battery Power Rating': u'3500', u'Connectivity technologies': u'GSM, 3G, UMTS, LTE, WiFi', u'Weight': u'540 Grams', u'Wireless communication technologies': u'Bluetooth, WiFi Hotspot', u'Product Dimensions': u'18.7 x 0.8 x 9.7 cm', u'RAM': u'2 GB', u'Item Weight': u'540 g', u'Form factor': u'Touchscreen', u'Special features': u'3G', u'OS': u'Android', u'Colour': u'Gunmetal Platinum'}",2016-04-15,http://ecx.images-amazon.com/images/I/51eJpdrsRxL._SY300_QL70_.jpg,tablet
8_tablet,"iBall Slide Performance Series 7236 2G Tablet (4GB, WiFi, Voice Calling)",3.7 out of 5 stars,5299,"{u'Item model number': u'7236 2G', u'Whats in the box': u'Tablet, Battery, Charger, Data Cable and User Guide', u'Connectivity technologies': u'GSM, (900/1800 MHz), GPRS, EDGE, WiFi, Supports OTG Cable', u'Weight': u'50 Grams', u'Wireless communication technologies': u'Bluetooth', u'Product Dimensions': u'22.8 x 15 x 7.5 cm', u'Phone Standby Time (with data)': u'600 Hours', u'Item Weight': u'50 g', u'Device interface - primary': u'Touch Screen', u'Special features': u'Music Player, Video Player, Wireless FM Radio, Dual SIM, GPS, Voice Calling', u'OS': u'Android', u'Colour': u'Silver & Black (As in Images)'}",2016-04-15,http://ecx.images-amazon.com/images/I/417npfpIODL._SX300_QL70_.jpg,tablet
9_tablet,"D-Link D100 Tablet (WiFi, 3G, Voice Calling), Pearl White",2.9 out of 5 stars,6599,"{u'Item model number': u'WEB1000603A', u'Whats in the box': u'Tablet, Charger, Earphone, USB Cable, OTG Cable.', u'Connectivity technologies': u'GSM, (850/900/1800 MHz), 3G, (2100 MHz), GPRS, EDGE, WiFi', u'Weight': u'300 Grams', u'Product Dimensions': u'68.6 x 5.1 x 27.9 cm', u'Item Weight': u'299 g', u'Special features': u'3G', u'OS': u'Android', u'Colour': u'Pearl White'}",2016-04-15,http://ecx.images-amazon.com/images/I/41cqHQPbyQL._SY300_QL70_.jpg,tablet
10_tablet,"Micromax Canvas Tab P702 Tablet (WiFi, 4G, Voice Calling), Black",3 out of 5 stars,7999,"{u'Item model number': u'P702', u'Whats in the box': u'Tablet, Charger, USB Cable, Earphones, Screen Guard and OTG Cable', u'Connectivity technologies': u'GSM, (1800/1900/850/900 MHz), 3G, UMTS, (1900/2100/850/900 MHz), 4G LTE, (2300 MHz), WiFi', u'Weight': u'660 Grams', u'Wireless communication technologies': u'Bluetooth, WiFi Hotspot', u'Product Dimensions': u'14 x 22 x 6 cm', u'Item Weight': u'662 g', u'Special features': u'Dual SIM, Music Player, Video Player, FM Radio, E-mail', u'OS': u'Android', u'Colour': u'Black'}",2016-04-15,http://ecx.images-amazon.com/images/I/31QaCRQRjVL._SX300_QL70_.jpg,tablet
11_tablet,"Lenovo TAB 2 A8-50 Tablet (WiFi, LTE, Voice Calling), Blue",3.7 out of 5 stars,12999,"{u'Item model number': u'A8-50', u'Whats in the box': u'Tablet, Charger, USB Cable, User Manual and Warranty Card', u'Connectivity technologies': u'GSM, 3G, LTE, GPRS, EDGE, WiFi 802.11 b/g/n', u'Weight': u'330 Grams', u'Wireless communication technologies': u'Bluetooth, WiFi Hotspot', u'Product Dimensions': u'21 x 0.9 x 12.5 cm', u'Item Weight': u'331 g', u'Special features': u'Wi-Fi', u'OS': u'Android', u'Colour': u'Blue'}",2016-04-15,http://ecx.images-amazon.com/images/I/41oXjEV9WOL._SY300_QL70_.jpg,tablet
12_tablet,"Lenovo Tab 2 A7-30 Tablet (WiFi, 3G, Voice Calling, 16GB), Ebony Black",3.6 out of 5 stars,8999,"{u'Item model number': u'Tab 2 A7-30', u'Whats in the box': u'Tablet, Charger and User Mannual', u'Connectivity technologies': u'GSM, (850/900/1800/1900 MHz), 3G, WCDMA, (850/1900/2100 MHz), GPRS, EDGE, WiFi 802.11 b/g/n', u'Weight': u'270 Grams', u'Wireless communication technologies': u'Bluetooth, WiFi Hotspot', u'Product Dimensions': u'19.1 x 0.9 x 10.5 cm', u'Item Weight': u'268 g', u'Special features': u'3G', u'OS': u'Android', u'Colour': u'Ebony Black'}",2016-04-15,http://ecx.images-amazon.com/images/I/41tMQvLXaxL._SY300_QL70_.jpg,tablet
13_tablet,"Samsung Galaxy Tab 4 T231 Tablet (7-inch, 8GB, WiFi, 3G, Voice Calling), Ebony Black",4 out of 5 stars,11250,"{u'Item model number': u'SM-T231', u'Whats in the box': u'Tablet, Charger, Data Cable and User Guide', u'Connectivity technologies': u'2G, 3G, Voice Calling, Wifi 802.11a/b/g/n 2.4 + 5GHz, Wi-Fi Direct, Bluetooth v4.0, USB 2.0, 3.5mm Stereo Earjack, A-GPS + GLONASS', u'Weight': u'280 Grams', u'Wireless communication technologies': u'2G, 3G, Voice Calling, Wifi 802.11a/b/g/n 2.4 + 5GHz, Wi-Fi Direct, Bluetooth v4.0, A-GPS + GLONASS', u'Product Dimensions': u'18.7 x 10.8 x 0.9 cm', u'Item Weight': u'281 g', u'Device interface - primary': u'Touch Screen', u'Special features': u'Hancom Viewer: H Write (Word), H Cell (Excel), H Show (Powerpoint), Document Editor (Word, Excel and Powerpoint) Downloadable for Free on Samsung Apps, Supports PDF Viewer, Music Player, Video Player, E-mail, GPS, Accelerometer sensor, Video Calls, Voice Calling, Kids Mode, Multi User Mode, Smart Screen, Leather Like Texture, Multi Window', u'OS': u'Android', u'Colour': u'Ebony Black'}",2016-04-15,http://ecx.images-amazon.com/images/I/414CYIS8ZyL._SY300_QL70_.jpg,tablet
14_tablet,"AOC D70V50G Tablet (4GB, WiFi, 3G, Voice Calling, Dual SIM), Black/Grey",3.6 out of 5 stars,4275,"{u'Item model number': u'D70V50G', u'Whats in the box': u'Tablet, Charger and User Guide', u'Connectivity technologies': u'3G, WiFi 802.11 b/g/n', u'Weight': u'640 Grams', u'Product Dimensions': u'22.6 x 14.4 x 6.6 cm', u'Item Weight': u'640 g', u'Special features': u'3G', u'OS': u'Android', u'Colour': u'Black/Grey'}",2016-04-15,http://ecx.images-amazon.com/images/I/4190tlCJS2L._SX300_QL70_.jpg,tablet
15_tablet,"Micromax Canvas Tab P680 (WiFi, 3G, Voice Calling), Metallic Copper",3.6 out of 5 stars,7882,"{u'Item model number': u'Canvas Tab P680', u'Whats in the box': u'Tablet, Charger, USB Cable, OTG cable,Screen Guard, Warranty card and User Manual', u'Connectivity technologies': u'GSM, (850/900/1800 MHz), 3G, WCDMA, (2100 MHz), WiFi 802.11b/g/n', u'Weight': u'680 Grams', u'Wireless communication technologies': u'Bluetooth 4.0, Wi-Fi', u'Product Dimensions': u'21.6 x 12.4 x 0.9 cm', u'Item Weight': u'680 g', u'Special features': u'3G', u'OS': u'Android'}",2016-04-15,http://ecx.images-amazon.com/images/I/41Lvoi4BDUL._SY300_QL70_.jpg,tablet
16_tablet,"iBall 4GL Gorgeo 4G Calling Tablet,Black",4.1 out of 5 stars,6699,"{u'Item Weight': u'640 g', u'Item model number': u'Gorgeo 4GL', u'Brand': u'iBall', u'Product Dimensions': u'21.8 x 13.8 x 5 cm'}",2016-04-15,http://ecx.images-amazon.com/images/I/41MFnNsk0VL._SY300_QL70_.jpg,tablet
17_tablet,"Micromax Canvas Tabby P469 Family Tablet (White, WiFi+3G, Dual Sim,8GB, voice calling)",3.4 out of 5 stars,5135,"{u'Item model number': u'P469', u'Whats in the box': u'Tablet, Charger and User Manual', u'Connectivity technologies': u'GSM, 3G, WiFi', u'Weight': u'620 Grams', u'Wireless communication technologies': u'Bluetooth', u'Product Dimensions': u'22.6 x 17.8 x 6.6 cm', u'Item Weight': u'621 g', u'Special features': u'3G', u'OS': u'Android'}",2016-04-15,http://ecx.images-amazon.com/images/I/51Ehj6JV9IL._SX300_QL70_.jpg,tablet
18_tablet,"Micromax Canvas Tab P650E Tablet (WiFi), Silver",2.1 out of 5 stars,3489,"{u'Item model number': u'P650E', u'Whats in the box': u'Tablet, Battery, Charger, USB Cable and User Manual', u'Connectivity technologies': u'USB, Bluetooth, Wi-Fi 802.11b/g/n, A-GPS, 3.5mm Ear Jack. This Tablet does not support 3G and Voice Calling.', u'Weight': u'325 Grams', u'Wireless communication technologies': u'Bluetooth, Wi-Fi 802.11b/g/n, A-GPS This Tablet does not support 3G and Voice Calling.', u'Product Dimensions': u'19.4 x 1 x 12.3 cm', u'Item Weight': u'327 g', u'Special features': u'Wi-Fi', u'OS': u'Android', u'Colour': u'Silver'}",2016-04-15,http://ecx.images-amazon.com/images/I/417PnB3hRyL._SY300_QL70_.jpg,tablet
19_tablet,"Apple iPad Air 2 (Gold, 64GB, WiFi)",4.7 out of 5 stars,37999,"{u'Item model number': u'MH182LL/A', u'Batteries:': u'1 Lithium ion batteries required. (included)', u'Whats in the box': u'Tablet, Charger and User Manual', u'Connectivity technologies': u'WiFi 802.11 a/b/g/n/ac', u'Weight': u'435 Grams', u'Wireless communication technologies': u'Bluetooth', u'Product Dimensions': u'0.6 x 16.8 x 23.9 cm', u'RAM': u'2 GB', u'Item Weight': u'435 g', u'Device interface - primary': u'Touch screen/stylus pen', u'Special features': u'Video Calls, GPS, Music Player, Video Player, Touch ID, Accelerometer, Ambient light sensor, Three-axis gyro sensor, eCompass, Barometer, E-mail, Retina display, Fingerprint identity sensor', u'OS': u'iOS', u'Colour': u'Gold'}",2016-04-15,http://ecx.images-amazon.com/images/I/41Yel8ffbaL._SY300_QL70_.jpg,tablet
20_tablet,Datawind Vidya Tablet (WiFi),1.4 out of 5 stars,2199,"{u'Item model number': u'Vidya', u'Whats in the box': u'Tablet, Charger and User Manual', u'Connectivity technologies': u'For data connectivity only: WiFi 802.11 b/g/n. This tablet does not support voice calling.', u'Weight': u'260 Grams', u'Wireless communication technologies': u'WiFi Hotspot', u'Product Dimensions': u'18.2 x 1 x 12.1 cm', u'Item Weight': u'259 g', u'Special features': u'Gravity sensor', u'OS': u'Android'}",2016-04-15,http://ecx.images-amazon.com/images/I/41HN3WfcQ%2BL._SX300_QL70_.jpg,tablet
21_tablet,"iBall Slide Brace X1 Tablet (WiFi, 3G, Voice Calling)",3.5 out of 5 stars,16440,"{u'Item model number': u'Slide Brace X1', u'Whats in the box': u'Tablet, Charger, Data Cable and User Guide', u'Connectivity technologies': u'GSM, HSPA+, 3G, WiFi 802.11 b/g/n', u'Weight': u'1.3 Kilograms', u'Wireless communication technologies': u'Bluetooth', u'Product Dimensions': u'28.4 x 6.8 x 21 cm', u'Item Weight': u'1.3 Kg', u'Form factor': u'Touchscreen', u'Special features': u'Music Player, Video Player, Voice Calling, Video Calls, Dual SIM, GPS, G sensor, E Printing', u'OS': u'Android, Kitkat', u'Colour': u'Classic Silver'}",2016-04-15,http://ecx.images-amazon.com/images/I/410Hyxy7ZsL._SY300_QL70_.jpg,tablet
22_tablet,Datawind 7SC* Tablet 4GB Black,2.9 out of 5 stars,2988,"{u'Item model number': u'7SC*', u'Operating System': u'Android', u'Brand': u'Datawind', u'Item Weight': u'540 g', u'Screen Size': u'7 Inches', u'Product Dimensions': u'23.4 x 13.7 x 5.6 cm', u'Included Components': u'Ubislate Smartphone Device,Home Charger,Warranty Card,Quick Start Guide'}",2016-04-15,http://ecx.images-amazon.com/images/I/415Dsob%2BodL._SY300_QL70_.jpg,tablet
23_tablet,"UBI Slate 7CZ Tablet (WiFi, 3G via Dongle, Voice Calling)",2.6 out of 5 stars,3200,"{u'Item model number': u'7CZ', u'Whats in the box': u'Tablet, Battery, Charger, Data Cable and User Guide', u'Connectivity technologies': u'GSM, GPRS, EDGE, WiFi, 3G via external dongle', u'Weight': u'470 Grams', u'Wireless communication technologies': u'Bluetooth', u'Product Dimensions': u'57.7 x 33.2 x 12.2 cm', u'Item Weight': u'472 g', u'Device interface - primary': u'Touch Screen', u'Special features': u'3G', u'OS': u'Android', u'Phone Talk Time': u'180 Minutes'}",2016-04-15,http://ecx.images-amazon.com/images/I/41t1PmJTdSL._SX300_QL70_.jpg,tablet
24_tablet,"iBall Slide 3G 7803 Q900 Tablet (WiFi, 3G, Voice Calling, Dual SIM)",3.6 out of 5 stars,Not Available,"{u'Item model number': u'3G 7803', u'Whats in the box': u'Tablet, Battery, Charger and User Manual', u'Connectivity technologies': u'GSM, (850/900/1800/1900 MHz), WCDMA, 3G, (2100 MHz), EDGE, GPRS, WiFi 802.11 b/g/n', u'Weight': u'365 Grams', u'Wireless communication technologies': u'Bluetooth, WiFi Hotspot', u'Product Dimensions': u'24.6 x 6.9 x 16.5 cm', u'Item Weight': u'367 g', u'Device interface - primary': u'Touch Screen', u'Special features': u'Dual SIM, GPS, Music Player, Video Player, E-mail', u'OS': u'Android'}",2016-04-15,http://ecx.images-amazon.com/images/I/41Lk8qTpaNL._SY300_QL70_.jpg,tablet
25_tablet,"Samsung Galaxy Tab 3 Neo SM-T111 Tablet (8GB, WiFi, 3G, Voice Calling), Cream White",4 out of 5 stars,8990,"{u'Item model number': u'SM-T111', u'Whats in the box': u'Tablet, Charger, Data Cable and User Guide', u'Connectivity technologies': u'2G, 3G, Voice Calling, Wifi 802.11 b/g/n 2.4GHz, Wifi Direct, GPS, Glonass, 3.5mm Stereo Earjack, Bluetooth BT 4.0, USB 2.0', u'Weight': u'320 Grams', u'Wireless communication technologies': u'Wifi 802.11 b/g/n 2.4GHz, Wifi Direct, 3G, 2G, Voice Calling, GPS, Glonass, Bluetooth BT 4.0', u'Product Dimensions': u'19.3 x 0.9 x 11.6 cm', u'Battery Power Rating': u'3600.00', u'Item Weight': u'322 g', u'Device interface - primary': u'Touch Screen', u'Special features': u'Study Mate, Fun Mate, Style Mate, Info Mate, 50 GB of Free Cloud Storage, Club Samsung Offer, Accelerometer, GPS, Glonass, Music Player, Video Player, E-mail', u'OS': u'Android', u'Colour': u'Cream White'}",2016-04-15,http://ecx.images-amazon.com/images/I/41EYn6SvAHL._SY300_QL70_.jpg,tablet
26_tablet,"Samsung Galaxy Tab A SM-T355YZWA Tablet 8 inch (20.32 cm) 16 GB, White",4.3 out of 5 stars,17900,"{u'Item model number': u'Tab A SM-T355YZWA', u'Product Dimensions': u'13.8 x 20.8 x 0.8 cm', u'Operating System': u'Android', u'Item Height': u'8 Millimeters', u'Item Width': u'20.8 Centimeters', u'Brand': u'Samsung', u'Item Weight': u'558 g', u'Screen Size': u'8 Inches', u'Colour': u'White'}",2016-04-15,http://ecx.images-amazon.com/images/I/41Vz%2B0rnv5L._SY300_QL70_.jpg,tablet
27_tablet,"iBall Slide 7236 2Gi(Royal Blue, 8 GB, Wi-Fi+2G)",4.5 out of 5 stars,3995,"{u'Item model number': u'iBall Slide 7236 2Gi', u'Hardware Platform': u'PC', u'Colour': u'Royal Blue', u'Brand': u'iBall', u'Item Weight': u'522 g', u'Operating System': u'Android', u'Processor Speed': u'1.3 GHz', u'Screen Size': u'7 Inches', u'Product Dimensions': u'22.6 x 13.6 x 5.2 cm'}",2016-04-15,http://ecx.images-amazon.com/images/I/41JI462915L._SX300_QL70_.jpg,tablet
28_tablet,"iBall Slide 3G 6095-Q700 Tablet (16GB, WiFi, 3G, Voice Calling)",3.5 out of 5 stars,6399,"{u'Item model number': u'6095-Q700', u'Whats in the box': u'Tablet, Charger and User Manual', u'Connectivity technologies': u'GSM, (850/900/1800/1900 MHz), WCDMA, 3G, (2100 MHz), EDGE, GPRS, WiFi 802.11 b/g/n', u'Weight': u'580 Grams', u'Wireless communication technologies': u'Bluetooth, WiFi Hotspot', u'Product Dimensions': u'23.3 x 6.5 x 13.6 cm', u'Item Weight': u'581 g', u'Device interface - primary': u'Touch Screen', u'Special features': u'3G', u'OS': u'Android'}",2016-04-15,http://ecx.images-amazon.com/images/I/41CEW01tFsL._SY300_QL70_.jpg,tablet
29_tablet,"Dell Venue 8 Pro 3000 Series Tablet (WiFi), Black",3.3 out of 5 stars,10399,"{u'Item model number': u'Venue 8 Pro', u'Whats in the box': u'Tablet, Charger, Battery, Data Cable and User Guide', u'Connectivity technologies': u'Wi-Fi 802.11 b/g/n,Bluetooth v4,USB 2.0', u'Weight': u'395 Grams', u'Wireless communication technologies': u'Wi-Fi 802.11 b/g/n, Bluetooth', u'Product Dimensions': u'21.6 x 0.9 x 13 cm', u'Item Weight': u'395 g', u'Special features': u'Wi-Fi', u'OS': u'Windows', u'Colour': u'Black'}",2016-04-15,http://ecx.images-amazon.com/images/I/413HJBUuIKL._SX300_QL70_.jpg,tablet
30_tablet,"Samsung Galaxy Tab A SM-T355YZAAINS Tablet (WiFi, 3G), Smoky Titanium",4.1 out of 5 stars,17900,"{u'Item model number': u'Tab A SM-T355YZWA', u'Operating System': u'Android', u'Item Height': u'13.8 Centimeters', u'Item Width': u'20.8 Centimeters', u'Brand': u'Samsung', u'Item Weight': u'549 g', u'Screen Size': u'8 Inches', u'Product Dimensions': u'0.8 x 20.8 x 13.8 cm'}",2016-04-15,http://ecx.images-amazon.com/images/I/41kMKvd0z2L._SY300_QL70_.jpg,tablet
31_tablet,"iBall Slide i701 Tablet (16GB, WiFi, 3G via Dongle) with Free HDMI cable and 3 Tablet covers",3.3 out of 5 stars,Not Available,"{u'Item model number': u'i701', u'Whats in the box': u'Tablet, Battery, Charger, User Guide, free HDMI cable and free 3 Tablet covers', u'Connectivity technologies': u'Micro USB 2.0, 3.5mm Ear Jack, For Data Connectivity only: WiFi- 802.11 b\\g\\n, Bluetooth, 3G via Dongle. This tablet does not support voice calling', u'Weight': u'600 Grams', u'Wireless communication technologies': u'WiFi- 802.11 b\\g\\n, Bluetooth v4.0', u'Product Dimensions': u'20.1 x 6.1 x 12.5 cm', u'Item Weight': u'599 g', u'Special features': u'Music Player, HD Video Player, E-mail, OTG Support, Mini HDMI support, Micro USB support', u'OS': u'Windows', u'Colour': u'black'}",2016-04-15,http://ecx.images-amazon.com/images/I/41iAaSgXKQL._SY300_QL70_.jpg,tablet
32_tablet,DOMO Slate S5 3G Calling Tablet PC with 8GB Internal and Dual Camera Kitkat 4.4.2,2.4 out of 5 stars,4490,"{u'Item model number': u'Slate S5', u'Product Dimensions': u'10.8 x 1.1 x 18.9 cm', u'Operating System': u'android', u'Item Height': u'18.9 Centimeters', u'Item Width': u'11 Millimeters', u'Brand': u'Domo', u'Item Weight': u'286 g', u'Average Battery Life (in hours)': u'4 Hours', u'Screen Size': u'7 Inches', u'Colour': u'White with Black Detail', u'Included Components': u'Slate S5 Device, 1 Device Charger, 1 USB Cable, 1 OTG Cable, Documentation'}",2016-04-15,http://ecx.images-amazon.com/images/I/41ZhNLrnO9L._SX300_QL70_.jpg,tablet
33_tablet,"Datawind Ubislate 7C+ Edge Tablet (WiFi, 3G via Dongle, Voice Calling)",2.5 out of 5 stars,3150,"{u'Item model number': u'7C+', u'Operating System': u'Android', u'Item Height': u'6.1 Centimeters', u'Item Width': u'16.6 Centimeters', u'Brand': u'Datawind', u'Card Reader': u'MicroSD', u'Item Weight': u'522 g', u'Screen Size': u'7 Inches', u'Product Dimensions': u'23.4 x 16.6 x 6.1 cm', u'Included Components': u'Tablet, Charger and User Guide'}",2016-04-15,http://ecx.images-amazon.com/images/I/41X5zslmpZL._SX300_QL70_.jpg,tablet
34_tablet,"Apple iPad Air 2 (Gold, 16GB, WiFi)",4.7 out of 5 stars,31000,"{u'Item model number': u'MH0W2LL/A', u'Batteries:': u'1 Lithium ion batteries required. (included)', u'Whats in the box': u'Tablet, Charger and User Manual', u'Connectivity technologies': u'WiFi 802.11 a/b/g/n/ac', u'Weight': u'435 Grams', u'Wireless communication technologies': u'Bluetooth', u'Product Dimensions': u'0.6 x 16.8 x 23.9 cm', u'RAM': u'1 GB', u'Item Weight': u'435 g', u'Device interface - primary': u'Touch screen/stylus pen', u'Special features': u'Video Calls, Single SIM, GPS, Music Player, Video Player, Touch ID, Accelerometer, Ambient light sensor, Three-axis gyro sensor, eCompass, Barometer, E-mail, Retina display, Fingerprint identity sensor', u'OS': u'iOS', u'Colour': u'Gold'}",2016-04-15,http://ecx.images-amazon.com/images/I/41Yel8ffbaL._SY300_QL70_.jpg,tablet
35_tablet,"Apple iPad Air 2 (Gold, 64GB, WiFi + Cellular)",4.5 out of 5 stars,47500,"{u'Item model number': u'MH2P2LL/A', u'Batteries:': u'1 Lithium ion batteries required. (included)', u'Item Width': u'16.8 Centimeters', u'Lithium Battery Energy Content': u'10 Watt Hours', u'RAM Size': u'2 GB', u'Number of Lithium Ion Cells': u'4', u'Wireless Type': u'802.11 a/b/g/n/ac', u'Operating System': u'iOS', u'Lithium battery Voltage': u'12 Volts', u'Product Dimensions': u'0.6 x 16.8 x 23.9 cm', u'Screen Size': u'9.7 Inches', u'Connectivity Type': u'Bluetooth', u'Included Components': u'Tablet, Charger and User Manual', u'Colour': u'Gold', u'Item Weight': u'445 g', u'Lithium battery Weight': u'1.8 Grams', u'Computer Memory Type': u'SIMM', u'Item Height': u'23.9 Centimeters', u'Series': u'iPad Air 2', u'Wattage': u'12 Watts', u'Rear Webcam Resolution': u'5 Megapixels', u'Brand': u'Apple'}",2016-04-15,http://ecx.images-amazon.com/images/I/41Yel8ffbaL._SY300_QL70_.jpg,tablet
36_tablet,"Iball Slide Cuddle A4 (16gb, Coffee Brown+Gold)",3.7 out of 5 stars,7099,"{u'Item model number': u'I Ball Slide Cuddle A4(2+16GB)Brown+Gold', u'Operating System': u'Android', u'Brand': u'iBall', u'Item Weight': u'599 g', u'Screen Size': u'6.95 Inches', u'Product Dimensions': u'22 x 13 x 5.4 cm'}",2016-04-15,http://ecx.images-amazon.com/images/I/518jjs0oSHL._SX300_QL70_.jpg,tablet
37_tablet,Vox New V102 Dual Sim 3G Calling Tablet,4 out of 5 stars,3999,"{u'Item model number': u'New V102 tablet', u'Operating System': u'Android', u'Brand': u'Vox', u'Item Weight': u'590 g', u'Product Dimensions': u'21.3 x 14.5 x 5.6 cm', u'Colour': u'Black', u'Included Components': u'TABLET, USB-OTG CABLE, CHARGER, USER MANNUAL'}",2016-04-15,http://ecx.images-amazon.com/images/I/515CdH6CoDL._SY300_QL70_.jpg,tablet
38_tablet,"iBall Slide 1026-Q18 Tablet (10.1 inch, 8GB, WiFi, 3G, Voice Calling), White",3.6 out of 5 stars,9900,"{u'Item model number': u'1026-Q18', u'Operating System': u'Android', u'Item Height': u'7.1 Centimeters', u'Item Width': u'20.9 Centimeters', u'Brand': u'iBall', u'Item Weight': u'1.2 Kg', u'Screen Size': u'10.1 Inches', u'Product Dimensions': u'30.2 x 20.9 x 7.1 cm', u'Connectivity Type': u'Bluetooth', u'Included Components': u'Tablet, Charger and User Guide'}",2016-04-15,http://ecx.images-amazon.com/images/I/41ytyCp1sYL._SY300_QL70_.jpg,tablet
