SerialN,Name,Ratings,Price,Condition,Date
SerialN,Name,Ratings,Price,Details,Date,img_link,type
1_tv,Micromax 32T7250MHD 80cm (32 inches) HD Ready LED TV,4.1 out of 5 stars,13990,"{u'Item model number': u'32T7250MHD', u'Wattage': u'45 Watts', u'Image Aspect Ratio': u'16:9', u'Total Usb Ports': u'1', u'Power Source': u'AC', u'Image Contrast Ratio': u'4000:1', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Screen Size': u'32 Inches', u'Brand': u'Micromax', u'Item Weight': u'6 Kg', u'Response Time': u'8 Milliseconds', u'Model': u'32T7250MHD', u'Display Technology': u'LED', u'Resolution': u'1366 x 768', u'Product Dimensions': u'73.6 x 8 x 43 cm', u'Included Components': u'Remote Control, Battery, User Manual and Wall Mount Support'}",2016-04-14,http://ecx.images-amazon.com/images/I/41Lv862MDZL._SX300_QL70_.jpg,tv
2_tv,Micromax 43T8100MHD 109cm (43 inches) Full HD LED TV (Black),4.2 out of 5 stars,23260,"{u'Item model number': u'43T8100MHD', u'Image Aspect Ratio': u'16:09', u'Total Usb Ports': u'2', u'Audio Wattage': u'20 Watts', u'Image Contrast Ratio': u'3000:1', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Screen Size': u'43 Inches', u'Brand': u'Micromax', u'Refresh Rate': u'60 hertz', u'Item Weight': u'7 Kg', u'Response Time': u'6 Milliseconds', u'Model': u'43T8100MHD', u'Display Technology': u'LED', u'Resolution': u'1920 x 1080', u'Product Dimensions': u'97.8 x 8.9 x 57.8 cm', u'Power Source': u'AC'}",2016-04-14,http://ecx.images-amazon.com/images/I/51Fw5ADIhvL._SX300_QL70_.jpg,tv
3_tv,Noble Skiodo 32CN32P01 81cm (32 inches) HD Ready LED TV (Black),4.1 out of 5 stars,12499,"{u'Item model number': u'32CN32P01', u'Display Resolution Maximum': u'1366x768p', u'Supported Audio Format': u'mp3_audio', u'Power Source': u'AC', u'Image Contrast Ratio': u'100000:1', u'Speaker Surround Sound Channel Configuration': u'YES', u'Batteries Required': u'No', u'Screen Size': u'32 Inches', u'Brand': u'Noble Skiodo', u'Supported Image Type': u'JPEG', u'Item Weight': u'4.4 Kg', u'Total Usb Ports': u'2', u'Model Name': u'I-Tech', u'Batteries Included': u'No', u'Response Time': u'7 Milliseconds', u'Model': u'32CN32P01', u'Display Technology': u'LED', u'Resolution': u'1366 x 768', u'Product Dimensions': u'73 x 8 x 43.5 cm', u'Included Components': u'Remote Control, batteries, warranty card, manual, Wallmount'}",2016-04-14,http://ecx.images-amazon.com/images/I/41tQomBTlFL._SX300_QL70_.jpg,tv
4_tv,LG 32LF550A 80 cm (32 inches) HD Ready LED TV,4 out of 5 stars,19642,"{u'Item model number': u'32LF550A', u'Display Resolution Maximum': u'720p', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Brand': u'LG', u'Item Weight': u'7 Kg', u'Model Name': u'32LF550A', u'Model': u'32LF550A', u'Display Technology': u'LED', u'Screen Size': u'32 Inches', u'Product Dimensions': u'81 x 49.8 x 14.7 cm'}",2016-04-14,http://ecx.images-amazon.com/images/I/41uzYqj44uL._SY300_QL70_.jpg,tv
5_tv,Samsung 23H4003 58 cm (23 inches) HD Ready LED TV (Black),4.2 out of 5 stars,11490,"{u'Item model number': u'23H4003', u'Display Resolution Maximum': u'720p', u'Total Usb Ports': u'1', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Screen Size': u'23 Inches', u'Brand': u'Samsung', u'Refresh Rate': u'100 hertz', u'Item Weight': u'3.1 Kg', u'Model': u'23H4003', u'Display Technology': u'LED', u'Resolution': u'1366 x 768', u'Product Dimensions': u'65 x 40.6 x 13 cm'}",2016-04-14,http://ecx.images-amazon.com/images/I/41Luo9TecAL._SY300_QL70_.jpg,tv
6_tv,Micromax 24B600HD 60 cm (24 inches) HD Ready LED TV (Black),4 out of 5 stars,9989,"{u'Item model number': u'24B600HD', u'Display Resolution Maximum': u'720p', u'Image Aspect Ratio': u'12/31/1899', u'Screen Size': u'24 Inches', u'Power Source': u'AC 90 - 240 V, 50/60 Hz', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Resolution': u'1366 x 768', u'Brand': u'Micromax', u'Refresh Rate': u'60 hertz', u'Aspect Ratio': u'16:9', u'Item Weight': u'3.8 Kg', u'Total Usb Ports': u'1', u'Wattage': u'36 Watts', u'Model': u'24B600HD', u'Display Technology': u'LED', u'Model Year': u'2014', u'Product Dimensions': u'55.9 x 2.5 x 33 cm'}",2016-04-14,http://ecx.images-amazon.com/images/I/51iORUpgY-L._SX300_QL70_.jpg,tv
7_tv,Micromax 40C3420FHD (40-Inch)Full HD LED TV,3.8 out of 5 stars,21949,"{u'Item model number': u'40C3420FHD', u'Display Resolution Maximum': u'1080p', u'Display Type': u'LED', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Screen Size': u'40 Inches', u'Brand': u'Micromax', u'Item Weight': u'10 Kg', u'Model': u'40C3420FHD', u'Resolution': u'1920*1080', u'Product Dimensions': u'6.9 x 90.3 x 52.8 cm'}",2016-04-14,http://ecx.images-amazon.com/images/I/41pY6NJXnnL._SX300_QL70_.jpg,tv
8_tv,Philips 32PFL3738/V7 81 cm (32 inches) HD Ready LED TV,4 out of 5 stars,16771,"{u'Item model number': u'32PFL3738/V7', u'Display Resolution Maximum': u'720p', u'Total Usb Ports': u'1', u'Audio Wattage': u'16 Watts', u'Batteries Included': u'Yes', u'Batteries Required': u'No', u'Screen Size': u'32 Inches', u'Brand': u'Philips', u'Refresh Rate': u'120 hertz', u'Aspect Ratio': u'16:9', u'Item Weight': u'5 Kg', u'GSM frequencies': u'60 hertz', u'Wattage': u'50 Watts', u'Model': u'32PFL3738/V7', u'Display Technology': u'LED', u'Model Year': u'2014', u'Product Dimensions': u'74 x 8.8 x 45.3 cm'}",2016-04-14,http://ecx.images-amazon.com/images/I/51RdpQI0QaL._SX300_QL70_.jpg,tv
9_tv,LG 32LF513A 80 cm (32 inches) HD Ready IPS Panel LED TV,4.1 out of 5 stars,19103,"{u'Item model number': u'32LF513A', u'Display Resolution Maximum': u'720p', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Screen Size': u'32 Inches', u'Brand': u'LG', u'Viewing Angle': u'176 Degrees', u'Refresh Rate': u'60Hz', u'Item Weight': u'7 Kg', u'Model Name': u'32LF513A', u'Model': u'32LF513A', u'Display Technology': u'LED', u'Resolution': u'1366*786', u'Product Dimensions': u'78.7 x 50 x 13.2 cm'}",2016-04-14,http://ecx.images-amazon.com/images/I/51yCbN5qg7L._SX300_QL70_.jpg,tv
10_tv,LG 24LF452A 60 cm (24 inches) HD Ready LED TV,4 out of 5 stars,11998,"{u'Item model number': u'24LF452A', u'Display Resolution Maximum': u'720p', u'Batteries Included': u'No', u'Batteries Required': u'No', u'Screen Size': u'24 Inches', u'Brand': u'LG', u'Item Weight': u'4.9 Kg', u'Model Name': u'24LF452A', u'Model': u'24LF452A', u'Display Technology': u'LED', u'Resolution': u'1366*768', u'Product Dimensions': u'13 x 74 x 46 cm'}",2016-04-14,http://ecx.images-amazon.com/images/I/51K-0fpKrrL._SX300_QL70_.jpg,tv
