SerialN,Name,Ratings,Price,Condition,Date
1_mobile,CLOUD ETAIL,4.5 out of 5 stars,"Rs. 6,863.00",New,2016-04-15
1_mobile,Alka Traders,,"Rs. 7,200.00",New,2016-04-15
1_mobile,,,"Rs. 7,490.00",New,2016-04-15
2_mobile,LavaEstore,3.5 out of 5 stars,"Rs. 4,999.00",New,2016-04-15
2_mobile,SRI ADINATHMOBILES,,"Rs. 5,490.00",New,2016-04-15
2_mobile,mobilecafe online,5 out of 5 stars,"Rs. 5,450.00",New,2016-04-15
2_mobile,Live Sales & Services,,"Rs. 5,680.00",New,2016-04-15
2_mobile,baba communication,,"Rs. 5,500.00",New,2016-04-15
2_mobile,Live Sales & Services,,"Rs. 5,875.00",New,2016-04-15
4_mobile,AtoZStore100,4 out of 5 stars,"Rs. 8,999.00",New,2016-04-15
4_mobile,Mobile World JPR,,"Rs. 9,700.00",New,2016-04-15
4_mobile,Majestic Communication,,"Rs. 10,000.00",New,2016-04-15
4_mobile,Ramsnehi mobile & Computer,5 out of 5 stars,"Rs. 13,200.00",New,2016-04-15
4_mobile,M/S HARI OM ENTERPRISES,2 out of 5 stars,"Rs. 13,999.00",New,2016-04-15
4_mobile,PLANET ELECTRONICS,1 out of 5 stars,"Rs. 15,250.00",New,2016-04-15
4_mobile,Rain Mobile House,,"Rs. 15,899.00",New,2016-04-15
5_mobile,Deals Amazing,4 out of 5 stars,"Rs. 8,296.00",New,2016-04-15
5_mobile,,4.5 out of 5 stars,"Rs. 8,297.00",New,2016-04-15
5_mobile,Magiczone,,"Rs. 8,500.00",New,2016-04-15
5_mobile,Emm Ess Refrigeration,3 out of 5 stars,"Rs. 9,990.00",New,2016-04-15
5_mobile,RSM_BLR,,"Rs. 10,100.00",New,2016-04-15
5_mobile,PAVI SALES,4 out of 5 stars,"Rs. 17,999.00",New,2016-04-15
7_mobile,AtoZStore100,4 out of 5 stars,"Rs. 7,180.00",New,2016-04-15
7_mobile,Tharakan Duty Paid,3.5 out of 5 stars,"Rs. 7,150.00",New,2016-04-15
7_mobile,,4.5 out of 5 stars,"Rs. 7,349.00",New,2016-04-15
7_mobile,,4.5 out of 5 stars,"Rs. 7,349.00",New,2016-04-15
7_mobile,LavaEstore,3.5 out of 5 stars,"Rs. 7,349.00",New,2016-04-15
7_mobile,SR BUSINESS,,"Rs. 7,449.00",New,2016-04-15
7_mobile,PAMIDIMARRI MOBILES,2 out of 5 stars,"Rs. 8,000.00",New,2016-04-15
7_mobile,vijayasaienterprises,3.5 out of 5 stars,"Rs. 8,500.00",New,2016-04-15
10_mobile,SHOPING BOOK,4 out of 5 stars,"Rs. 6,199.00",New,2016-04-15
10_mobile,Comminucation Next,1 out of 5 stars,"Rs. 6,499.00",New,2016-04-15
10_mobile,Softcloud Retails,3 out of 5 stars,"Rs. 6,679.00",New,2016-04-15
10_mobile,ND Mobile,3.5 out of 5 stars,"Rs. 6,899.00",New,2016-04-15
10_mobile,SCPL SLP,4.5 out of 5 stars,"Rs. 6,990.00",New,2016-04-15
10_mobile,vijayasaienterprises,3.5 out of 5 stars,"Rs. 6,999.00",New,2016-04-15
10_mobile,mobilecafe online,5 out of 5 stars,"Rs. 7,000.00",New,2016-04-15
10_mobile,PAMIDIMARRI MOBILES,2 out of 5 stars,"Rs. 6,999.00",New,2016-04-15
10_mobile,CELL Q,,"Rs. 7,420.00",New,2016-04-15
12_mobile,deccanhubb,3.5 out of 5 stars,"Rs. 7,219.00",New,2016-04-15
12_mobile,,4.5 out of 5 stars,"Rs. 7,219.00",New,2016-04-15
12_mobile,GADGETS_ONLINE,4.5 out of 5 stars,"Rs. 7,799.00",New,2016-04-15
12_mobile,Zion International,1 out of 5 stars,"Rs. 7,846.00",New,2016-04-15
12_mobile,The Smart Solution,1 out of 5 stars,"Rs. 7,875.00",New,2016-04-15
12_mobile,Brisk Communications,5 out of 5 stars,"Rs. 7,999.00",New,2016-04-15
12_mobile,HVAC SOLUTIONS,2.5 out of 5 stars,"Rs. 8,200.00",New,2016-04-15
12_mobile,Digitech Mart,,"Rs. 7,668.00",New,2016-04-15
12_mobile,POWERING MOBILE LIFE STYLE,1 out of 5 stars,"Rs. 8,632.00",New,2016-04-15
12_mobile,CELL Q,,"Rs. 8,480.00",New,2016-04-15
13_mobile,Shopping_Revolution,2 out of 5 stars,"Rs. 6,148.00",New,2016-04-15
13_mobile,M R Enterprises Patna,,"Rs. 6,450.00",New,2016-04-15
13_mobile,R D smart,,"Rs. 7,100.00",New,2016-04-15
13_mobile,,4.5 out of 5 stars,"Rs. 7,300.00",New,2016-04-15
13_mobile,Arun Agencies,,"Rs. 7,490.00",New,2016-04-15
13_mobile,Brisk Communications,5 out of 5 stars,"Rs. 7,500.00",New,2016-04-15
13_mobile,BestDeals4Yu,4 out of 5 stars,"Rs. 7,810.00",New,2016-04-15
13_mobile,,4 out of 5 stars,"Rs. 7,999.00",New,2016-04-15
13_mobile,KUNDRA AGENCIES,,"Rs. 7,899.00",New,2016-04-15
13_mobile,HVAC SOLUTIONS,2.5 out of 5 stars,"Rs. 7,999.00",New,2016-04-15
14_mobile,the electronic gadgets,2 out of 5 stars,"Rs. 46,850.00",New,2016-04-15
14_mobile,,5 out of 5 stars,"Rs. 46,695.00",New,2016-04-15
14_mobile,SCPL SLP,4.5 out of 5 stars,"Rs. 46,900.00",New,2016-04-15
14_mobile,,4.5 out of 5 stars,"Rs. 46,900.00",New,2016-04-15
14_mobile,AMEZ,4.5 out of 5 stars,"Rs. 46,900.00",New,2016-04-15
14_mobile,,4.5 out of 5 stars,"Rs. 46,900.00",New,2016-04-15
14_mobile,Sabrimala Leasing and Holdings Limited_SLP,4 out of 5 stars,"Rs. 46,900.00",New,2016-04-15
14_mobile,Ojas_BAN_SLC,5 out of 5 stars,"Rs. 46,900.00",New,2016-04-15
14_mobile,ITWORLD_CHE_SLC,4.5 out of 5 stars,"Rs. 46,900.00",New,2016-04-15
14_mobile,Ravis Jonty communication,,"Rs. 51,000.00",New,2016-04-15
15_mobile,NK Mobile,,"Rs. 7,700.00",New,2016-04-15
15_mobile,NK Mobile JPR,,"Rs. 7,700.00",New,2016-04-15
19_mobile,,4.5 out of 5 stars,"Rs. 10,999.00",New,2016-04-15
19_mobile,,4.5 out of 5 stars,"Rs. 10,999.00",New,2016-04-15
19_mobile,PentaGram,3.5 out of 5 stars,"Rs. 10,999.00",New,2016-04-15
19_mobile,DEVICES INDIA,4 out of 5 stars,"Rs. 12,200.00",New,2016-04-15
19_mobile,,4.5 out of 5 stars,"Rs. 12,999.00",New,2016-04-15
19_mobile,mobile mantra,1 out of 5 stars,"Rs. 13,000.00",New,2016-04-15
19_mobile,Magiczone,,"Rs. 13,000.00",New,2016-04-15
19_mobile,Gulati Electronics,,"Rs. 13,290.00",New,2016-04-15
19_mobile,JMD EXCLUSIVE,4.5 out of 5 stars,"Rs. 13,300.00",New,2016-04-15
19_mobile,ekta mobiles,3.5 out of 5 stars,"Rs. 13,560.00",New,2016-04-15
20_mobile,,4.5 out of 5 stars,"Rs. 4,499.00",New,2016-04-15
20_mobile,,4.5 out of 5 stars,"Rs. 4,499.00",New,2016-04-15
20_mobile,Hariom Mobile Phones,1 out of 5 stars,"Rs. 4,600.00",New,2016-04-15
20_mobile,ANUSHREE TRADERS,,"Rs. 4,800.00",New,2016-04-15
20_mobile,RKK Traders,3 out of 5 stars,"Rs. 4,700.00",New,2016-04-15
20_mobile,Alka Traders,,"Rs. 4,899.00",New,2016-04-15
20_mobile,PAMIDIMARRI MOBILES,2 out of 5 stars,"Rs. 5,000.00",New,2016-04-15
20_mobile,H.M.T. Watch Centre,1 out of 5 stars,"Rs. 5,250.00",New,2016-04-15
20_mobile,Surya Mobile,,"Rs. 5,800.00",New,2016-04-15
20_mobile,carnival mobiles,,"Rs. 4,850.00",New,2016-04-15
21_mobile,CELL TELECOM,4 out of 5 stars,"Rs. 2,994.00",New,2016-04-15
21_mobile,deccanhubb,3.5 out of 5 stars,"Rs. 2,995.00",New,2016-04-15
21_mobile,Unique@Seller-FBA-SLP,4.5 out of 5 stars,"Rs. 3,375.00",New,2016-04-15
21_mobile,Tanishka mobile,3 out of 5 stars,"Rs. 3,490.00",New,2016-04-15
21_mobile,Anant Digital,4 out of 5 stars,"Rs. 3,793.00",New,2016-04-15
21_mobile,G.S telecell traders,,"Rs. 3,890.00",New,2016-04-15
21_mobile,SHIVALIK COMPUTERS,,"Rs. 3,899.00",New,2016-04-15
21_mobile,baba communication,,"Rs. 4,250.00",New,2016-04-15
23_mobile,Magiczone,,"Rs. 17,499.00",New,2016-04-15
23_mobile,m/s swarup,,"Rs. 17,986.00",New,2016-04-15
24_mobile,Swarneem sales and service,1 out of 5 stars,"Rs. 5,999.00",New,2016-04-15
24_mobile,Nakodaenterprises,,"Rs. 8,999.00",New,2016-04-15
25_mobile,,4.5 out of 5 stars,"Rs. 5,849.00",New,2016-04-15
25_mobile,vijayasaienterprises,3.5 out of 5 stars,"Rs. 6,500.00",New,2016-04-15
25_mobile,amo che,,"Rs. 7,000.00",New,2016-04-15
26_mobile,N F B C_Retail,3 out of 5 stars,"Rs. 6,899.00",New,2016-04-15
26_mobile,deccanhubb,3 out of 5 stars,"Rs. 7,000.00",New,2016-04-15
26_mobile,Mobile Player,3.5 out of 5 stars,"Rs. 7,200.00",New,2016-04-15
26_mobile,Sri kethakishwara mobiles,,"Rs. 7,300.00",New,2016-04-15
